branch,category,seatpool,oprank,closerank
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,114,453
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,143,230
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,4416,5830
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,754,754
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,2481,2820
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,1270,1294
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,3844,4914
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,448,448
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,2070,2309
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,1172,1522
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,586,711
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,8199,9545
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,4802,4910
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,2184,2184
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,1133,1133
"Mining Engineering (4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,5516,6652
"Mining Engineering (4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,613,613
"Mining Engineering (4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,2375,2931
"Mining Engineering (4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,1206,1787
"Mining Engineering (4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,748,809
"Mining Engineering (4 year, Bachelor of Technology, Engineering)",General,Female-Only,12029,12704
"Mining Engineering (4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,6429,6658
"Mining Engineering (4 year, Bachelor of Technology, Engineering)",SC,Female-Only,2834,2834
"Mining Engineering (4 year, Bachelor of Technology, Engineering)",ST,Female-Only,535P,535P
"Ocean Engineering and Naval Architecture(4 year, Bachelor of Technology,
Engineering)",General,Gender-Neutral,5568,6272
"Ocean Engineering and Naval Architecture(4 year, Bachelor of Technology,
Engineering)",EWS,Gender-Neutral,639,639
"Ocean Engineering and Naval Architecture(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Gender-Neutral,2419,2813
"Ocean Engineering and Naval Architecture(4 year, Bachelor of Technology,
Engineering)",SC,Gender-Neutral,1196,1936
"Ocean Engineering and Naval Architecture(4 year, Bachelor of Technology,
Engineering)",ST,Gender-Neutral,694,843
"Ocean Engineering and Naval Architecture(4 year, Bachelor of Technology,
Engineering)",General,Female-Only,12099,12443
