branch,seatpool,oprank,closerank,category
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,1211,646P,ST
"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,1658,1788,OBC-NCL
"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,3988,3988,OBC-NCL
"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,3586,4338,OPEN
"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,7932,8204,OPEN
"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,937,1095,SC
"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,1949,1949,SC
"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,548,638,ST
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations
(5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,3625,4022,OBC-NCL
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations
(5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,6990,7380,OBC-NCL
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations
(5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,927,927,GEN-EWS
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations
(5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,7363,8664,OPEN
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations
(5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,14284,14526,OPEN
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations
(5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,2207,2298,SC
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations
(5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,3458,3458,SC
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations
(5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,1054,1062,ST
"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,3121,3669,OBC-NCL
"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Female-Only,5532,5532,OBC-NCL
"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,826,826,GEN-EWS
"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,6080,7428,OPEN
"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Female-Only,12500,12786,OPEN
"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,1913,2185,SC
"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Female-Only,2085,2085,SC
"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,938,1166,ST
"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Female-Only,956P,956P,ST
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,1911,2226,OBC-NCL
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,4324,4324,OBC-NCL
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,418,418,GEN-EWS
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,3481,3805,OPEN
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,5816,7807,OPEN
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,206P,206P,OPEN (PwD)
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,1054,1189,SC
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,1422,1422,SC
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,463,666,ST
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,1029,1029,ST
"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master
of Technology (Dual Degree))",Gender-Neutral,1989,2249,OBC-NCL
"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master
of Technology (Dual Degree))",Female-Only,4514,4514,OBC-NCL
"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master
of Technology (Dual Degree))",Gender-Neutral,538,538,GEN-EWS
"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master
of Technology (Dual Degree))",Gender-Neutral,4226,5551,OPEN
"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master
of Technology (Dual Degree))",Female-Only,9678,10364,OPEN
"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master
of Technology (Dual Degree))",Gender-Neutral,244P,244P,OPEN (PwD)
"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master
of Technology (Dual Degree))",Gender-Neutral,901,1145,SC
"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master
of Technology (Dual Degree))",Female-Only,1831,1831,SC
"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master
of Technology (Dual Degree))",Gender-Neutral,265,343,ST
"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master
of Technology (Dual Degree))",Female-Only,1191,1191,ST
