branch,seatpool,oprank,closerank,category
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,3424,3424,SC
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,183,596,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,1353,1353,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,19,19,ST (PwD)
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,11741,16976,OBC-NCL
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,13556,13556,OBC-NCL
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4630,4630,GEN-EWS
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,26966,31375,OPEN
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,35668,37029,OPEN
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1945,1945,OPEN (PwD)
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5563,6420,SC
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,7514,7514,SC
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2875,2897,ST
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,6948,7849,OBC-NCL
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,12462,12462,OBC-NCL
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2728,2728,GEN-EWS
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,15182,21863,OPEN
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,28929,30142,OPEN
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1217,1217,OPEN (PwD)
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3118,4183,SC
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,6307,6307,SC
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1505,1628,ST
"Mining Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,13634,17575,OBC-NCL
"Mining Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4936,4936,GEN-EWS
"Mining Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,30308,35219,OPEN
"Mining Engineering (4 Years, Bachelor of Technology)",Female-Only,37220,37552,OPEN
"Mining Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5372,5652,SC
"Mining Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2010,2010,ST
"Mining Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,6544,7875,OBC-NCL
